"filename", "language", "HTML", "YAML", "JavaScript", "Markdown", "JSON", "Properties", "vue", "CSS", "XML", "comment", "blank", "total"
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\user_info\guest.vue", "vue", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\user_info\user.vue", "vue", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\user_info\vip.vue", "vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\kafeiy_blog\blog_client\package\blogFront\src\main.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\kafeiy_blog\blog_client\package\blogFront\src\output.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1310, 0, 1, 1, 1312
"d:\kafeiy_blog\blog_client\package\blogFront\src\router\index.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"d:\kafeiy_blog\blog_client\package\blogFront\src\script\guest_role.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\kafeiy_blog\blog_client\package\blogFront\src\store\article.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\kafeiy_blog\blog_client\package\blogFront\src\store\identity.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 3, 5, 99
"d:\kafeiy_blog\blog_client\package\blogFront\src\store\user.js", "JavaScript", 0, 0, 157, 0, 0, 0, 0, 0, 0, 5, 6, 168
"d:\kafeiy_blog\blog_client\package\blogFront\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 7, 49
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\index.vue", "vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\user\auth.vue", "vue", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\user\login.vue", "vue", 0, 0, 0, 0, 0, 0, 205, 0, 0, 1, 25, 231
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\user\register.vue", "vue", 0, 0, 0, 0, 0, 0, 93, 0, 0, 1, 11, 105
"d:\kafeiy_blog\blog_client\package\blogFront\tailwind.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 0, 20
"d:\kafeiy_blog\blog_client\package\blogFront\vite.config.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 1, 25
"d:\kafeiy_blog\blog_client\package\shard\utils\nprogress.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"d:\kafeiy_blog\blog_client\package\shard\utils\portal.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 3, 19
"d:\kafeiy_blog\blog_client\package\shard\utils\request.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 12, 9, 82
"d:\kafeiy_blog\blog_client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\kafeiy_blog\blog_client\qodana.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 19, 7, 30
"d:\kafeiy_blog\blog_client\share\HeartBeat.confg.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 4, 27
"d:\kafeiy_blog\blog_client\vite.config.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"Total", "-", 270, 4, 591, 3, 10362, 1, 1869, 1351, 1, 167, 289, 14908
